personne,emotion,pourcentage_emotion,niveau_dengagement,time_sequence
Personne-1,fear,63,Engaged,frame_109945.csv
Personne-2,sad,53,Engaged,frame_109945.csv
Personne-3,neutral,68,Engaged,frame_109945.csv
Personne-4,neutral,57,Engaged,frame_109945.csv
Personne-5,sad,78,Engaged,frame_109945.csv
Personne-6,neutral,62,Engaged,frame_109945.csv
Personne-7,angry,100,Engaged,frame_109945.csv
Personne-8,neutral,90,Not Engaged,frame_109945.csv
Personne-9,sad,60,Not Engaged,frame_109945.csv
Personne-10,fear,42,Engaged,frame_109945.csv
Personne-11,sad,76,Not Engaged,frame_109945.csv
Personne-12,fear,74,Engaged,frame_109945.csv
Personne-13,sad,93,Engaged,frame_109945.csv
Personne-14,angry,57,Engaged,frame_109945.csv
Personne-15,neutral,87,Not Engaged,frame_109945.csv
Personne-16,neutral,94,Engaged,frame_109945.csv
Personne-17,fear,52,Engaged,frame_109945.csv
Personne-18,sad,67,Engaged,frame_109945.csv
Personne-1,fear,97,Engaged,frame_111944.csv
Personne-2,sad,46,Engaged,frame_111944.csv
Personne-3,sad,40,Engaged,frame_111944.csv
Personne-4,angry,83,Not Engaged,frame_111944.csv
Personne-5,sad,77,Engaged,frame_111944.csv
Personne-6,sad,78,Engaged,frame_111944.csv
Personne-7,fear,40,Engaged,frame_111944.csv
Personne-8,angry,36,Engaged,frame_111944.csv
Personne-9,happy,88,Engaged,frame_111944.csv
Personne-10,sad,95,Not Engaged,frame_111944.csv
Personne-11,angry,56,Not Engaged,frame_111944.csv
Personne-12,neutral,77,Engaged,frame_111944.csv
Personne-13,sad,89,Not Engaged,frame_111944.csv
Personne-14,angry,69,Engaged,frame_111944.csv
Personne-15,neutral,100,Engaged,frame_111944.csv
Personne-16,neutral,67,Not Engaged,frame_111944.csv
Personne-17,happy,100,Engaged,frame_111944.csv
Personne-18,sad,58,Engaged,frame_111944.csv
Personne-1,sad,56,Engaged,frame_113943.csv
Personne-2,fear,49,Not Engaged,frame_113943.csv
Personne-3,angry,79,Engaged,frame_113943.csv
Personne-4,fear,95,Engaged,frame_113943.csv
Personne-5,neutral,99,Engaged,frame_113943.csv
Personne-6,angry,100,Engaged,frame_113943.csv
Personne-7,sad,98,Not Engaged,frame_113943.csv
Personne-8,sad,64,Engaged,frame_113943.csv
Personne-9,neutral,70,Engaged,frame_113943.csv
Personne-10,sad,97,Engaged,frame_113943.csv
Personne-11,sad,75,Engaged,frame_113943.csv
Personne-12,angry,62,Engaged,frame_113943.csv
Personne-13,sad,78,Engaged,frame_113943.csv
Personne-14,fear,84,Not Engaged,frame_113943.csv
Personne-15,sad,94,Engaged,frame_113943.csv
Personne-16,sad,100,Engaged,frame_113943.csv
Personne-17,sad,81,Engaged,frame_113943.csv
Personne-18,fear,60,Engaged,frame_113943.csv
Personne-19,neutral,100,Engaged,frame_113943.csv
Personne-20,sad,91,Engaged,frame_113943.csv
Personne-21,angry,73,Engaged,frame_113943.csv
Personne-1,fear,82,Not Engaged,frame_115942.csv
Personne-2,happy,70,Not Engaged,frame_115942.csv
Personne-3,fear,64,Engaged,frame_115942.csv
Personne-4,happy,44,Engaged,frame_115942.csv
Personne-5,sad,50,Engaged,frame_115942.csv
Personne-6,sad,52,Engaged,frame_115942.csv
Personne-7,neutral,65,Not Engaged,frame_115942.csv
Personne-8,sad,76,Not Engaged,frame_115942.csv
Personne-9,neutral,86,Engaged,frame_115942.csv
Personne-10,happy,60,Engaged,frame_115942.csv
Personne-11,neutral,64,Not Engaged,frame_115942.csv
Personne-12,sad,85,Engaged,frame_115942.csv
Personne-13,sad,91,Engaged,frame_115942.csv
Personne-14,surprise,91,Engaged,frame_115942.csv
Personne-15,neutral,68,Engaged,frame_115942.csv
Personne-16,neutral,83,Engaged,frame_115942.csv
Personne-17,sad,95,Engaged,frame_115942.csv
Personne-18,angry,65,Engaged,frame_115942.csv
Personne-19,happy,87,Engaged,frame_115942.csv
Personne-1,sad,53,Engaged,frame_117941.csv
Personne-2,happy,59,Engaged,frame_117941.csv
Personne-3,fear,74,Not Engaged,frame_117941.csv
Personne-4,sad,47,Engaged,frame_117941.csv
Personne-5,neutral,63,Not Engaged,frame_117941.csv
Personne-6,neutral,94,Engaged,frame_117941.csv
Personne-7,sad,57,Engaged,frame_117941.csv
Personne-8,neutral,35,Not Engaged,frame_117941.csv
Personne-9,fear,66,Engaged,frame_117941.csv
Personne-10,sad,72,Engaged,frame_117941.csv
Personne-11,angry,85,Engaged,frame_117941.csv
Personne-12,sad,100,Not Engaged,frame_117941.csv
Personne-13,sad,59,Engaged,frame_117941.csv
Personne-14,angry,67,Engaged,frame_117941.csv
Personne-15,sad,83,Engaged,frame_117941.csv
